House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion,Address,Is Retired,Is Unemployed,Is Student,Major Religions
47,Brooks Road,Diane,Davies,54,Head,Married,F,Outdoor activities/education manager,None,Methodist,"47, Brooks Road",0,0,0,Christian
47,Brooks Road,George,Davies,54,Husband,Married,M,International aid/development worker,None,None,"47, Brooks Road",0,0,0,Unknown
47,Brooks Road,Jacqueline,Davies,15,Daughter,Ineligible,F,Student,None,,"47, Brooks Road",0,0,1,Ineligible
47,Brooks Road,Brandon,Davies,13,Son,Ineligible,M,Student,None,,"47, Brooks Road",0,0,1,Ineligible
48,Brooks Road,Rhys,Mason,64,Head,Single,M,"Surveyor, insurance",None,Christian,"48, Brooks Road",0,0,0,Christian
49,Brooks Road,Natasha,Lee,45,Head,Married,F,"Therapist, occupational",None,Christian,"49, Brooks Road",0,0,0,Christian
49,Brooks Road,Ben,Lee,44,Husband,Married,M,Unemployed,None,None,"49, Brooks Road",0,1,0,Unknown
50,Brooks Road,Aimee,Murphy,39,Head,Single,F,Chief Marketing Officer,None,Christian,"50, Brooks Road",0,0,0,Christian
51,Brooks Road,Harriet,Skinner,41,Head,Single,F,Equities trader,None,Catholic,"51, Brooks Road",0,0,0,Christian
51,Brooks Road,Caroline,Skinner,19,Daughter,Single,F,University Student,None,None,"51, Brooks Road",0,0,1,Unknown
51,Brooks Road,Joanne,Skinner,18,Daughter,Single,F,Student,None,Catholic,"51, Brooks Road",0,0,1,Christian
52,Brooks Road,Sandra,Gibson,45,Head,Widowed,F,Unemployed,None,None,"52, Brooks Road",0,1,0,Unknown
52,Brooks Road,Mary,Gibson,12,Daughter,Ineligible,F,Student,None,,"52, Brooks Road",0,0,1,Ineligible
53,Brooks Road,Beth,Naylor,52,Head,Divorced,F,"Civil engineer, consulting",None,Christian,"53, Brooks Road",0,0,0,Christian
53,Brooks Road,Ashley,Naylor,11,Son,Ineligible,M,Student,None,,"53, Brooks Road",0,0,1,Ineligible
54,Brooks Road,Lydia,Porter,22,Head,Divorced,F,Unemployed,None,Catholic,"54, Brooks Road",0,1,0,Christian
54,Brooks Road,Josh,Porter,4,Son,Ineligible,M,Child,None,,"54, Brooks Road",0,0,0,Ineligible
55,Brooks Road,Lynn,Burton,27,Head,Married,F,Regulatory affairs officer,None,Catholic,"55, Brooks Road",0,0,0,Christian
55,Brooks Road,Craig,Burton,34,Husband,Married,M,"Engineer, maintenance",None,Catholic,"55, Brooks Road",0,0,0,Christian
55,Brooks Road,Danny,Burton,1,Son,Ineligible,M,Child,None,,"55, Brooks Road",0,0,0,Ineligible
55,Brooks Road,Luke,Smith,20,Sibling,Divorced,M,University Student,None,Catholic,"55, Brooks Road",0,0,1,Christian
1,Windsor Avenue,Kerry,Giles,65,Head,Married,F,"Surveyor, hydrographic",None,Methodist,"1, Windsor Avenue",0,0,0,Christian
1,Windsor Avenue,Hugh,Giles,65,Husband,Married,M,Radiation protection practitioner,None,Methodist,"1, Windsor Avenue",0,0,0,Christian
2,Windsor Avenue,Irene,Jones,68,Head,Widowed,F,"Retired Editor, commissioning",None,Methodist,"2, Windsor Avenue",1,0,0,Christian
3,Windsor Avenue,Alison,Sanders,81,Head,Married,F,"Retired Teacher, early years/pre",None,Catholic,"3, Windsor Avenue",1,0,0,Christian
3,Windsor Avenue,Anthony,Sanders,83,Husband,Married,M,"Retired Social research officer, government",None,Catholic,"3, Windsor Avenue",1,0,0,Christian
4,Windsor Avenue,Frank,Parsons,78,Head,Divorced,M,Retired Legal secretary,None,Sikh,"4, Windsor Avenue",1,0,0,Sikh
5,Windsor Avenue,Anthony,Dobson,58,Head,Single,M,"Editor, film/video",None,Christian,"5, Windsor Avenue",0,0,0,Christian
1,Paladin Summit,Joel,Taylor,40,Head,Widowed,M,Manufacturing systems engineer,None,None,"1, Paladin Summit",0,0,0,Unknown
2,Paladin Summit,Valerie,Webb,48,Head,Divorced,F,Unemployed,None,None,"2, Paladin Summit",0,1,0,Unknown
2,Paladin Summit,Hugh,Johnson,12,Son,Ineligible,M,Student,None,,"2, Paladin Summit",0,0,1,Ineligible
3,Paladin Summit,Jade,Jennings,82,Head,Married,F,Retired Writer,None,None,"3, Paladin Summit",1,0,0,Unknown
3,Paladin Summit,Justin,Jennings,80,Husband,Married,M,Retired Aid worker,None,None,"3, Paladin Summit",1,0,0,Unknown
4,Paladin Summit,Maria,Harding,33,Head,Divorced,F,Secondary school teacher,None,None,"4, Paladin Summit",0,0,0,Unknown
4,Paladin Summit,Jean,Harding,10,Daughter,Ineligible,F,Student,None,,"4, Paladin Summit",0,0,1,Ineligible
5,Paladin Summit,Josephine,Scott,71,Head,Widowed,F,Retired Data scientist,None,None,"5, Paladin Summit",1,0,0,Unknown
5,Paladin Summit,Elaine,Scott,17,Granddaughter,Ineligible,F,Student,None,,"5, Paladin Summit",0,0,1,Ineligible
6,Paladin Summit,Katie,Bull,50,Head,Married,F,"Surveyor, mining",None,Catholic,"6, Paladin Summit",0,0,0,Christian
6,Paladin Summit,Douglas,Bull-Singh,56,Husband,Married,M,Arboriculturist,None,Catholic,"6, Paladin Summit",0,0,0,Christian
6,Paladin Summit,Callum,Foster-Bull-Singh,17,Son,Ineligible,M,Student,None,,"6, Paladin Summit",0,0,1,Ineligible
7,Paladin Summit,Hollie,Hall,20,Head,Married,F,University Student,None,None,"7, Paladin Summit",0,0,1,Unknown
7,Paladin Summit,Jamie,Hall,19,Husband,Married,M,University Student,None,None,"7, Paladin Summit",0,0,1,Unknown
8,Paladin Summit,Karen,Saunders,38,Head,Single,F,Lexicographer,None,None,"8, Paladin Summit",0,0,0,Unknown
9,Paladin Summit,Reece,O'Donnell,58,Head,Single,M,Photographer,None,Christian,"9, Paladin Summit",0,0,0,Christian
9,Paladin Summit,Jeremy,Daniels,23,None,Single,M,Prison officer,None,Muslim,"9, Paladin Summit",0,0,0,Muslim
9,Paladin Summit,Gerard,Lee,28,None,Single,M,"Lecturer, further education",None,Catholic,"9, Paladin Summit",0,0,0,Christian
9,Paladin Summit,Kayleigh,Edwards,46,None,Single,F,"Geologist, engineering",None,None,"9, Paladin Summit",0,0,0,Unknown
10,Paladin Summit,Sara,Steele,86,Head,Widowed,F,Retired Radio producer,None,Methodist,"10, Paladin Summit",1,0,0,Christian
11,Paladin Summit,Kenneth,Jones,30,Head,Married,M,Armed forces logistics/support/administrative officer,None,None,"11, Paladin Summit",0,0,0,Unknown
11,Paladin Summit,Julia,Jones,28,Wife,Married,F,"Accountant, chartered",None,None,"11, Paladin Summit",0,0,0,Unknown
12,Paladin Summit,Rosemary,Griffin,19,Head,Single,F,University Student,None,None,"12, Paladin Summit",0,0,1,Unknown
13,Paladin Summit,Abdul,Collins,23,Head,Single,M,Physiological scientist,None,None,"13, Paladin Summit",0,0,0,Unknown
14,Paladin Summit,Christine,O'Neill,69,Head,Widowed,F,Retired Freight forwarder,None,Christian,"14, Paladin Summit",1,0,0,Christian
15,Paladin Summit,Danielle,Mason,21,Head,Single,F,University Student,None,None,"15, Paladin Summit",0,0,1,Unknown
16,Paladin Summit,Duncan,Cross,88,Head,Single,M,Retired Minerals surveyor,None,None,"16, Paladin Summit",1,0,0,Unknown
17,Paladin Summit,Clare,Wilson,34,Head,Single,F,Prison officer,None,Muslim,"17, Paladin Summit",0,0,0,Muslim
18,Paladin Summit,Dorothy,Bailey,33,Head,Divorced,F,Unemployed,None,Christian,"18, Paladin Summit",0,1,0,Christian
18,Paladin Summit,Annette,Bailey,2,Daughter,Ineligible,F,Child,None,,"18, Paladin Summit",0,0,0,Ineligible
19,Paladin Summit,Karen,Hopkins,40,Head,Single,F,Chartered accountant,None,Catholic,"19, Paladin Summit",0,0,0,Christian
20,Paladin Summit,Guy,Parker,22,Head,Single,M,University Student,None,None,"20, Paladin Summit",0,0,1,Unknown
21,Paladin Summit,Lewis,Jones,60,Head,Single,M,Unemployed,None,Christian,"21, Paladin Summit",0,1,0,Christian
22,Paladin Summit,Claire,Stokes,58,Head,Single,F,Energy manager,None,Christian,"22, Paladin Summit",0,0,0,Christian
22,Paladin Summit,Julie,Nelson,20,None,Single,F,University Student,None,Christian,"22, Paladin Summit",0,0,1,Christian
23,Paladin Summit,Nicola,Hayward,33,Head,Divorced,F,Textile designer,None,Sikh,"23, Paladin Summit",0,0,0,Sikh
1,Wright Brook,Joanna,Grant,36,Head,Widowed,F,Commercial/residential surveyor,None,None,"1, Wright Brook",0,0,0,Unknown
1,Wright Brook,Ryan,Grant,5,Son,Ineligible,M,Student,None,,"1, Wright Brook",0,0,1,Ineligible
1,Wright Brook,Grace,Grant,3,Daughter,Ineligible,F,Child,None,,"1, Wright Brook",0,0,0,Ineligible
1,Wright Brook,Lynda,Stone,32,Sibling,Single,F,Charity officer,None,Jewish,"1, Wright Brook",0,0,0,Jewish
2,Wright Brook,Kirsty,Briggs,48,Head,Divorced,F,Air traffic controller,None,None,"2, Wright Brook",0,0,0,Unknown
2,Wright Brook,Kerry,Briggs,18,Daughter,Single,F,Student,None,None,"2, Wright Brook",0,0,1,Unknown
2,Wright Brook,Harry,Briggs,16,Son,Ineligible,M,Student,None,,"2, Wright Brook",0,0,1,Ineligible
2,Wright Brook,Jordan,Briggs,14,Son,Ineligible,M,Student,None,,"2, Wright Brook",0,0,1,Ineligible
3,Wright Brook,Samuel,Ellis,36,Head,Single,M,"Biochemist, clinical",None,Catholic,"3, Wright Brook",0,0,0,Christian
4,Wright Brook,Steven,Moore,31,Head,Single,M,Health visitor,None,Jewish,"4, Wright Brook",0,0,0,Jewish
4,Wright Brook,Joseph,Farmer,43,None,Single,M,Newspaper journalist,None,Christian,"4, Wright Brook",0,0,0,Christian
4,Wright Brook,Alex,Taylor,53,None,Single,M,Unemployed,None,Christian,"4, Wright Brook",0,1,0,Christian
4,Wright Brook,Aaron,Robinson,48,None,Single,M,Unemployed,None,Christian,"4, Wright Brook",0,1,0,Christian
5,Wright Brook,Susan,Chambers,39,Head,Single,F,Financial trader,None,Catholic,"5, Wright Brook",0,0,0,Christian
5,Wright Brook,Sean,Thorpe,43,Partner,Single,M,"Programme researcher, broadcasting/film/video",None,None,"5, Wright Brook",0,0,0,Unknown
5,Wright Brook,Ryan,Chambers,17,Son,Ineligible,M,Student,None,,"5, Wright Brook",0,0,1,Ineligible
6,Wright Brook,Charlene,Nolan,50,Head,Married,F,Unemployed,None,Christian,"6, Wright Brook",0,1,0,Christian
6,Wright Brook,Gregory,Nolan,50,Husband,Married,M,"Doctor, hospital",None,Christian,"6, Wright Brook",0,0,0,Christian
6,Wright Brook,Nigel,Nolan,19,Son,Single,M,University Student,None,Christian,"6, Wright Brook",0,0,1,Christian
6,Wright Brook,Graeme,Nolan,16,Son,Ineligible,M,Student,None,,"6, Wright Brook",0,0,1,Ineligible
7,Wright Brook,Naomi,Stewart,66,Head,Married,F,"Lecturer, higher education",None,Christian,"7, Wright Brook",0,0,0,Christian
7,Wright Brook,Lee,Stewart,68,Husband,Married,M,"Retired Research officer, trade union",None,Christian,"7, Wright Brook",1,0,0,Christian
7,Wright Brook,Gerald,Stewart,19,Son,Single,M,University Student,None,Christian,"7, Wright Brook",0,0,1,Christian
7,Wright Brook,Rachael,Stewart,16,Daughter,Ineligible,F,Student,None,,"7, Wright Brook",0,0,1,Ineligible
8,Wright Brook,Lindsey,Sullivan,77,Head,Married,F,Retired Youth worker,None,Christian,"8, Wright Brook",1,0,0,Christian
8,Wright Brook,Reece,Sullivan,78,Husband,Married,M,"Retired Administrator, charities/voluntary organisations",None,Christian,"8, Wright Brook",1,0,0,Christian
8,Wright Brook,Lindsey,Sullivan,51,Daughter,Single,F,"Lecturer, higher education",None,None,"8, Wright Brook",0,0,0,Unknown
8,Wright Brook,Amber,Sullivan,48,Daughter,Single,F,Manufacturing engineer,None,Christian,"8, Wright Brook",0,0,0,Christian
9,Wright Brook,Ruth,Davies,28,Head,Single,F,Barrister,None,Catholic,"9, Wright Brook",0,0,0,Christian
9,Wright Brook,Angela,Bailey,40,None,Single,F,Unemployed,None,Christian,"9, Wright Brook",0,1,0,Christian
9,Wright Brook,Naomi,Hyde,22,None,Single,F,University Student,None,None,"9, Wright Brook",0,0,1,Unknown
9,Wright Brook,Pamela,Long,28,None,Single,F,Visual merchandiser,None,None,"9, Wright Brook",0,0,0,Unknown
10,Wright Brook,Kim,Holden,55,Head,Married,F,Financial adviser,None,Methodist,"10, Wright Brook",0,0,0,Christian
10,Wright Brook,Guy,Holden,57,Husband,Married,M,Clinical molecular geneticist,None,Methodist,"10, Wright Brook",0,0,0,Christian
10,Wright Brook,Kyle,Holden,27,Son,Single,M,Insurance risk surveyor,None,None,"10, Wright Brook",0,0,0,Unknown
11,Wright Brook,Denise,Clarke,53,Head,Married,F,Financial planner,None,Catholic,"11, Wright Brook",0,0,0,Christian
11,Wright Brook,Gerard,Clarke-Knight,56,Husband,Married,M,"Doctor, general practice",None,Catholic,"11, Wright Brook",0,0,0,Christian
11,Wright Brook,Lydia,Clarke-Knight,9,Daughter,Ineligible,F,Student,None,,"11, Wright Brook",0,0,1,Ineligible
11,Wright Brook,Catherine,Clarke-Knight,7,Daughter,Ineligible,F,Student,None,,"11, Wright Brook",0,0,1,Ineligible
12,Wright Brook,Amelia,Hayes,72,Head,Widowed,F,Retired Public relations account executive,None,Christian,"12, Wright Brook",1,0,0,Christian
13,Wright Brook,Jade,Harrison,32,Head,Married,F,Television production assistant,None,None,"13, Wright Brook",0,0,0,Unknown
13,Wright Brook,Dale,Harrison,33,Husband,Married,M,Tax adviser,None,None,"13, Wright Brook",0,0,0,Unknown
13,Wright Brook,Charles,Harrison,5,Son,Ineligible,M,Student,None,,"13, Wright Brook",0,0,1,Ineligible
13,Wright Brook,Bryan,Harrison,2,Son,Ineligible,M,Child,None,,"13, Wright Brook",0,0,0,Ineligible
14,Wright Brook,Sian,Roberts,29,Head,Married,F,Horticultural therapist,None,None,"14, Wright Brook",0,0,0,Unknown
14,Wright Brook,Trevor,Roberts,26,Husband,Married,M,Research scientist (life sciences),None,None,"14, Wright Brook",0,0,0,Unknown
14,Wright Brook,Kimberley,Roberts,6,Daughter,Ineligible,F,Student,None,,"14, Wright Brook",0,0,1,Ineligible
14,Wright Brook,Sandra,Roberts,5,Daughter,Ineligible,F,Student,None,,"14, Wright Brook",0,0,1,Ineligible
14,Wright Brook,Claire,Roberts,2,Daughter,Ineligible,F,Child,None,,"14, Wright Brook",0,0,0,Ineligible
15,Wright Brook,Kathleen,Walker,49,Head,Married,F,"Nurse, learning disability",None,Christian,"15, Wright Brook",0,0,0,Christian
15,Wright Brook,Sean,Walker,52,Husband,Married,M,Advertising copywriter,None,Christian,"15, Wright Brook",0,0,0,Christian
15,Wright Brook,Alan,Walker,20,Son,Single,M,University Student,None,None,"15, Wright Brook",0,0,1,Unknown
15,Wright Brook,Gary,Walker,17,Son,Ineligible,M,Student,None,,"15, Wright Brook",0,0,1,Ineligible
16,Wright Brook,Ricky,Norton,45,Head,Single,M,Human resources officer,None,Methodist,"16, Wright Brook",0,0,0,Christian
16,Wright Brook,James,Jones,30,None,Single,M,Community education officer,None,Undecided,"16, Wright Brook",0,0,0,Unknown
16,Wright Brook,Kerry,Wright,31,None,Single,F,Health physicist,None,None,"16, Wright Brook",0,0,0,Unknown
16,Wright Brook,Dominic,Swift,54,None,Single,M,Unemployed,None,Christian,"16, Wright Brook",0,1,0,Christian
16,Wright Brook,Christian,Taylor,18,None,Single,M,Student,None,,"16, Wright Brook",0,0,1,Unknown
16,Wright Brook,Henry,Clarke,54,None,Single,M,Dealer,None,None,"16, Wright Brook",0,0,0,Unknown
17,Wright Brook,Alexandra,Chapman-Todd,40,Head,Single,F,Unemployed,None,None,"17, Wright Brook",0,1,0,Unknown
17,Wright Brook,Glen,Chapman-Todd,8,Son,Ineligible,M,Student,None,,"17, Wright Brook",0,0,1,Ineligible
17,Wright Brook,Joan,Chapman-Todd,4,Daughter,Ineligible,F,Child,None,,"17, Wright Brook",0,0,0,Ineligible
17,Wright Brook,Darren,Chapman-Todd,0,Son,Ineligible,M,Child,None,,"17, Wright Brook",0,0,0,Ineligible
17,Wright Brook,Guy,Chapman-Todd,0,Son,Ineligible,M,Child,None,,"17, Wright Brook",0,0,0,Ineligible
18,Wright Brook,Kenneth,Little,41,Head,Single,M,Unemployed,None,Christian,"18, Wright Brook",0,1,0,Christian
18,Wright Brook,Alison,Little,12,Daughter,Ineligible,F,Student,None,,"18, Wright Brook",0,0,1,Ineligible
19,Wright Brook,Cameron,Bruce,33,Head,Widowed,M,Computer games developer,None,None,"19, Wright Brook",0,0,0,Unknown
20,Wright Brook,Samuel,Watson,51,Head,Married,M,"Therapist, speech and language",None,Catholic,"20, Wright Brook",0,0,0,Christian
20,Wright Brook,Sally,Watson,49,Wife,Married,F,Ecologist,None,Catholic,"20, Wright Brook",0,0,0,Christian
20,Wright Brook,Michelle,Watson,10,Daughter,Ineligible,F,Student,None,,"20, Wright Brook",0,0,1,Ineligible
20,Wright Brook,Lee,Watson,10,Son,Ineligible,M,Student,None,,"20, Wright Brook",0,0,1,Ineligible
20,Wright Brook,Dean,Watson,9,Son,Ineligible,M,Student,None,,"20, Wright Brook",0,0,1,Ineligible
21,Wright Brook,Karen,Potts,45,Head,Married,F,Secretary/administrator,None,Christian,"21, Wright Brook",0,0,0,Christian
21,Wright Brook,John,Potts,48,Husband,Married,M,Visual merchandiser,None,Christian,"21, Wright Brook",0,0,0,Christian
21,Wright Brook,Katherine,Potts,23,Daughter,Single,F,"Designer, exhibition/display",None,None,"21, Wright Brook",0,0,0,Unknown
21,Wright Brook,Clare,Potts,19,Daughter,Divorced,F,University Student,None,None,"21, Wright Brook",0,0,1,Unknown
21,Wright Brook,Martin,Potts,18,Son,Single,M,Student,None,Christian,"21, Wright Brook",0,0,1,Christian
22,Wright Brook,Norman,Gibson,50,Head,Married,M,Lobbyist,None,None,"22, Wright Brook",0,0,0,Unknown
22,Wright Brook,Lorraine,Gibson,45,Wife,Married,F,Fast food restaurant manager,None,None,"22, Wright Brook",0,0,0,Unknown
22,Wright Brook,Richard,Gibson,9,Son,Ineligible,M,Student,None,,"22, Wright Brook",0,0,1,Ineligible
22,Wright Brook,Elizabeth,Gibson,3,Daughter,Ineligible,F,Child,None,,"22, Wright Brook",0,0,0,Ineligible
23,Wright Brook,Olivia,Bennett,33,Head,Single,F,"Optician, dispensing",None,None,"23, Wright Brook",0,0,0,Unknown
23,Wright Brook,Albert,Bennett,2,Son,Ineligible,M,Child,None,,"23, Wright Brook",0,0,0,Ineligible
23,Wright Brook,Charlie,Davies,54,Lodger,Single,M,Data scientist,None,None,"23, Wright Brook",0,0,0,Unknown
23,Wright Brook,Jodie,Scott,54,Lodger,Single,F,Careers adviser,None,None,"23, Wright Brook",0,0,0,Unknown
23,Wright Brook,Tom,Lees,45,Lodger,Single,M,Oncologist,None,Catholic,"23, Wright Brook",0,0,0,Christian
23,Wright Brook,Patricia,Thompson,43,Visitor,Single,F,"Pharmacist, community",None,Methodist,"23, Wright Brook",0,0,0,Christian
24,Wright Brook,Amanda,Jackson,42,Head,Married,F,"Copywriter, advertising",None,Christian,"24, Wright Brook",0,0,0,Christian
24,Wright Brook,Joseph,Jackson,40,Husband,Married,M,"Copywriter, advertising",None,None,"24, Wright Brook",0,0,0,Unknown
24,Wright Brook,Terence,Jackson,13,Son,Ineligible,M,Student,None,,"24, Wright Brook",0,0,1,Ineligible
24,Wright Brook,Bethan,Jackson,10,Daughter,Ineligible,F,Student,None,,"24, Wright Brook",0,0,1,Ineligible
25,Wright Brook,Damian,Stephenson,25,Head,Single,M,Oceanographer,None,Muslim,"25, Wright Brook",0,0,0,Muslim
25,Wright Brook,Clive,Potter,30,None,Single,M,Medical technical officer,None,None,"25, Wright Brook",0,0,0,Unknown
25,Wright Brook,Leah,Thorpe,40,None,Single,F,Press sub,None,None,"25, Wright Brook",0,0,0,Unknown
25,Wright Brook,Abigail,Holland,37,None,Single,F,Unemployed,None,Catholic,"25, Wright Brook",0,1,0,Christian
26,Wright Brook,Damian,Dale,18,Head,Single,M,University Student,None,None,"26, Wright Brook",0,0,1,Unknown
26,Wright Brook,Benjamin,Lewis,29,None,Single,M,PhD Student,None,Catholic,"26, Wright Brook",0,0,1,Christian
26,Wright Brook,Rita,Bennett,18,None,Single,F,University Student,None,None,"26, Wright Brook",0,0,1,Unknown
26,Wright Brook,Nicole,Bond,21,None,Single,F,University Student,None,None,"26, Wright Brook",0,0,1,Unknown
27,Wright Brook,Mandy,Baker,33,Head,Married,F,Multimedia specialist,None,None,"27, Wright Brook",0,0,0,Unknown
27,Wright Brook,Joel,Baker,35,Husband,Married,M,"Surveyor, hydrographic",None,None,"27, Wright Brook",0,0,0,Unknown
27,Wright Brook,Maureen,Oliver,42,Lodger,Divorced,F,Public relations account executive,None,Catholic,"27, Wright Brook",0,0,0,Christian
27,Wright Brook,Marilyn,Sykes,50,Lodger,Divorced,F,Unemployed,None,Methodist,"27, Wright Brook",0,1,0,Christian
28,Wright Brook,Henry,Gibbs,87,Head,Widowed,M,"Retired Engineer, agricultural",None,Christian,"28, Wright Brook",1,0,0,Christian
29,Wright Brook,Charlene,Martin,45,Head,Single,F,"Engineer, aeronautical",None,Christian,"29, Wright Brook",0,0,0,Christian
29,Wright Brook,Angela,Martin,15,Daughter,Ineligible,F,Student,None,,"29, Wright Brook",0,0,1,Ineligible
29,Wright Brook,Cheryl,Martin,13,Daughter,Ineligible,F,Student,None,,"29, Wright Brook",0,0,1,Ineligible
29,Wright Brook,Aimee,Martin,10,Daughter,Ineligible,F,Student,None,,"29, Wright Brook",0,0,1,Ineligible
30,Wright Brook,Beth,Evans,40,Head,Married,F,Field seismologist,None,Methodist,"30, Wright Brook",0,0,0,Christian
30,Wright Brook,Cameron,Evans,45,Husband,Married,M,Unemployed,None,Methodist,"30, Wright Brook",0,1,0,Christian
30,Wright Brook,Terence,Evans,13,Son,Ineligible,M,Student,None,,"30, Wright Brook",0,0,1,Ineligible
31,Wright Brook,Mandy,Macdonald,23,Head,Married,F,Interpreter,None,Methodist,"31, Wright Brook",0,0,0,Christian
31,Wright Brook,Jeffrey,Macdonald,25,Husband,Married,M,Interpreter,None,Methodist,"31, Wright Brook",0,0,0,Christian
31,Wright Brook,Simon,Reynolds,53,Lodger,Single,M,Health visitor,None,None,"31, Wright Brook",0,0,0,Unknown
31,Wright Brook,Amanda,Andrews,58,Lodger,Single,F,"Merchandiser, retail",None,Christian,"31, Wright Brook",0,0,0,Christian
32,Wright Brook,Michelle,Moss,34,Head,Single,F,Barrister's clerk,None,Catholic,"32, Wright Brook",0,0,0,Christian
32,Wright Brook,Barry,Morris,37,None,Single,M,"Pharmacist, community",None,Methodist,"32, Wright Brook",0,0,0,Christian
33,Wright Brook,Angela,Williams,49,Head,Single,F,Unemployed,None,None,"33, Wright Brook",0,1,0,Unknown
33,Wright Brook,Gordon,Williams,8,Son,Ineligible,M,Student,None,,"33, Wright Brook",0,0,1,Ineligible
33,Wright Brook,Kyle,Williams,7,Son,Ineligible,M,Student,Unknown Infection,,"33, Wright Brook",0,0,1,Ineligible
34,Wright Brook,Sharon,Fox,40,Head,Married,F,Investment analyst,None,Christian,"34, Wright Brook",0,0,0,Christian
34,Wright Brook,Steven,Fox,42,Husband,Married,M,Geophysical data processor,None,None,"34, Wright Brook",0,0,0,Unknown
34,Wright Brook,Joel,Fox,7,Son,Ineligible,M,Student,None,,"34, Wright Brook",0,0,1,Ineligible
34,Wright Brook,Damien,Fox,5,Son,Ineligible,M,Student,None,,"34, Wright Brook",0,0,1,Ineligible
35,Wright Brook,Amber,Elliott,18,Head,Single,F,Student,None,,"35, Wright Brook",0,0,1,Unknown
36,Wright Brook,Jacob,Day-Jones,51,Head,Single,M,"Administrator, arts",None,Methodist,"36, Wright Brook",0,0,0,Christian
36,Wright Brook,Rosie,Hunter,61,Cousin,Single,F,Comptroller,None,Methodist,"36, Wright Brook",0,0,0,Christian
36,Wright Brook,Natasha,Williamson,68,Cousin,Widowed,F,"Retired Surveyor, minerals",None,Methodist,"36, Wright Brook",1,0,0,Christian
36,Wright Brook,Bernard,McKenzie,50,Cousin,Divorced,M,Museum/gallery exhibitions officer,None,Methodist,"36, Wright Brook",0,0,0,Christian
37,Wright Brook,Anne,Reid,27,Head,Single,F,"Secretary, company",None,Catholic,"37, Wright Brook",0,0,0,Christian
37,Wright Brook,Margaret,Palmer,22,Lodger,Single,F,University Student,None,None,"37, Wright Brook",0,0,1,Unknown
37,Wright Brook,Dale,Evans,42,Lodger,Divorced,M,Building control surveyor,None,Methodist,"37, Wright Brook",0,0,0,Christian
37,Wright Brook,Raymond,Howells,36,Sibling,Single,M,"Therapist, drama",None,None,"37, Wright Brook",0,0,0,Unknown
37,Wright Brook,Kate,Payne,35,Lodger,Single,F,Soil scientist,None,None,"37, Wright Brook",0,0,0,Unknown
37,Wright Brook,Natalie,Smith,53,Lodger,Single,F,"Pharmacist, community",None,Christian,"37, Wright Brook",0,0,0,Christian
38,Wright Brook,Alison,Bolton,41,Head,Single,F,International aid/development worker,None,None,"38, Wright Brook",0,0,0,Unknown
38,Wright Brook,Gregory,Farrell,39,Partner,Single,M,"Education officer, museum",None,None,"38, Wright Brook",0,0,0,Unknown
38,Wright Brook,Arthur,Bolton,8,Son,Ineligible,M,Student,None,,"38, Wright Brook",0,0,1,Ineligible
38,Wright Brook,Douglas,Bolton,4,Son,Ineligible,M,Child,None,,"38, Wright Brook",0,0,0,Ineligible
39,Wright Brook,Alice,King,58,Head,Married,F,Licensed conveyancer,None,None,"39, Wright Brook",0,0,0,Unknown
39,Wright Brook,Conor,King,60,Husband,Married,M,Clinical cytogeneticist,None,None,"39, Wright Brook",0,0,0,Unknown
39,Wright Brook,Tony,King,28,Son,Divorced,M,Industrial buyer,None,None,"39, Wright Brook",0,0,0,Unknown
39,Wright Brook,Chloe,Wheeler-King,15,Daughter,Ineligible,F,Student,None,,"39, Wright Brook",0,0,1,Ineligible
40,Wright Brook,Bethan,Mann,33,Head,Single,F,Database administrator,None,None,"40, Wright Brook",0,0,0,Unknown
40,Wright Brook,Kyle,Slater,19,None,Single,M,University Student,None,Catholic,"40, Wright Brook",0,0,1,Christian
40,Wright Brook,Sean,Griffiths,18,None,Single,M,Student,None,,"40, Wright Brook",0,0,1,Unknown
40,Wright Brook,Brenda,Davies,27,None,Single,F,Clinical psychologist,None,None,"40, Wright Brook",0,0,0,Unknown
40,Wright Brook,Hayley,Simpson,32,None,Divorced,F,"Embryologist, clinical",None,None,"40, Wright Brook",0,0,0,Unknown
41,Wright Brook,Alice,Wood,77,Head,Divorced,F,Unemployed,None,Christian,"41, Wright Brook",0,1,0,Christian
41,Wright Brook,Rosie,Wood,54,Daughter,Single,F,Print production planner,None,Christian,"41, Wright Brook",0,0,0,Christian
41,Wright Brook,Cheryl,Wood,53,Daughter,Single,F,"Teacher, secondary school",None,Christian,"41, Wright Brook",0,0,0,Christian
41,Wright Brook,Lucy,Wood,51,Daughter,Single,F,"Research officer, government",None,Christian,"41, Wright Brook",0,0,0,Christian
42,Wright Brook,Alison,Webb,46,Head,Married,F,Fine artist,None,Methodist,"42, Wright Brook",0,0,0,Christian
42,Wright Brook,Douglas,Webb,46,Husband,Married,M,Unemployed,None,Methodist,"42, Wright Brook",0,1,0,Christian
42,Wright Brook,Eleanor,Webb,9,Daughter,Ineligible,F,Student,None,,"42, Wright Brook",0,0,1,Ineligible
42,Wright Brook,June,Webb,5,Daughter,Ineligible,F,Student,None,,"42, Wright Brook",0,0,1,Ineligible
43,Wright Brook,Margaret,Wilson,34,Head,Single,F,Unemployed,None,Muslim,"43, Wright Brook",0,1,0,Muslim
